year,school
1900,Oklahoma State
1900,Arkansas State
1900,Nevada-Las Vegas
1900,Southern California
1974,Creighton
1974,Fairfield
1975,Buffalo
1975,Texas-Rio Grande Valley
1975,Bradley
1975,Tennessee
1976,Utah
1977,Utah
1977,Louisiana State
1978,Tennessee
1979,Southern Methodist
1979,Texas
1979,Michigan State
1979,Arizona
1979,Canisius
1980,Southern Methodist
1980,Mississippi
1980,Yale
1981,Lamar
1981,Texas-Rio Grande Valley
1982,Loyola (IL)
1982,Nevada-Las Vegas
1982,Bowling Green State
1982,Nevada
1983,Cal State Fullerton
1983,Nevada-Las Vegas
1984,Illinois-Chicago
1984,Houston
1984,Nevada-Las Vegas
1985,Bradley
1985,Loyola (IL)
1985,Hofstra
1986,Delaware
1986,St. John's (NY)
1986,Xavier
1986,Wake Forest
1987,Wagner
1987,Southern
1987,Nevada-Las Vegas
1987,Wake Forest
1987,Charleston Southern
1987,Middle Tennessee
1987,Bradley
1988,Bradley
1988,Loyola Marymount
1988,Southern
1988,Temple
1988,Georgia Tech
1989,NC State
1989,Holy Cross
1989,Syracuse
1990,East Tennessee State
1990,Drexel
1990,Idaho
1990,Louisiana
1991,Loyola Marymount
1991,East Tennessee State
1991,Jacksonville
1991,Tennessee Tech
1991,NC State
1991,Nevada-Las Vegas
1992,San Francisco
1992,New Mexico State
1992,Tennessee Tech
1993,Wright State
1993,Nevada-Las Vegas
1993,New Mexico State
1994,Nevada
1994,Marquette
1994,California
1994,Texas A&M
1995,Baylor
1995,UC Irvine
1995,George Mason
1996,UC Irvine
1996,George Mason
1998,Arkansas State
1998,Arizona State
1999,Oklahoma State
1999,Arkansas State
2001,Cal State Northridge
2001,St. John's (NY)
2002,Texas
2004,Troy
2006,Northeastern
2006,Marist
2007,Marist
2012,North Carolina
2012,Iona
2013,Long Island University
2014,Long Island University
2016,Oakland
2018,Oklahoma
2019,Murray State
2021,Oakland
2023,Saint Louis
2025,Gonzaga
