year,school
1900,Ohio State
1900,Louisiana-Monroe
1980,Virginia
1981,Old Dominion
1982,Old Dominion
1983,Rutgers
1983,Youngstown State
1983,Houston
1984,Houston
1984,Creighton
1985,Creighton
1985,Navy
1986,Navy
1986,Temple
1987,Maryland
1987,Navy
1988,Saint Joseph's
1989,Temple
1989,Georgetown
1990,Georgetown
1990,Rhode Island
1991,Brigham Young
1991,Louisiana State
1991,Georgetown
1991,Maryland
1992,Georgetown
1992,Vermont
1992,Louisiana State
1992,Iowa
1993,Wyoming
1993,Clemson
1994,Wyoming
1994,Marquette
1994,Howard
1995,Tennessee Tech
1995,Wake Forest
1995,Maryland-Baltimore County
1995,Wyoming
1995,Central Connecticut State
1995,Colgate
1996,Colgate
1996,Alabama
1996,Florida A&M
1996,Central Connecticut State
1997,Arizona State
1997,Tennessee Tech
1997,St. Francis (NY)
1997,Colgate
1997,Iowa State
1997,Florida A&M
1998,Georgia Tech
1998,Penn State
1998,Florida A&M
1998,Syracuse
1999,Syracuse
1999,Hampton
1999,Mississippi Valley State
2001,Jacksonville
2001,Louisiana-Monroe
2001,Hampton
2001,Seton Hall
2001,Ohio State
2002,Louisiana-Monroe
2002,Northwestern State
2002,Fairfield
2002,Maine
2002,Connecticut
2003,Maine
2003,Connecticut
2003,Binghamton
2004,West Virginia
2004,Houston
2004,South Florida
2004,Connecticut
2005,Fairfield
2005,Northeastern
2006,Northeastern
2006,Wyoming
2007,Massachusetts
2007,Alabama A&M
2008,Connecticut
2008,Alabama A&M
2008,McNeese State
2008,Mississippi State
2008,Duquesne
2009,Connecticut
2009,Mississippi State
2010,Utah
2010,Rutgers
2010,Marshall
2010,Mississippi State
2011,Northwestern State
2012,Kentucky
2013,Kansas
2013,St. John's (NY)
2014,Arizona State
2017,Nicholls State
2022,Western Kentucky
2022,Auburn
2023,Western Kentucky
2025,Queens (NC)
