year,school
1900,Louisiana-Monroe
1900,Ohio State
1980,Virginia
1982,Old Dominion
1983,Rutgers
1983,Houston
1983,Youngstown State
1984,Georgetown
1984,Houston
1984,Creighton
1985,Navy
1985,Creighton
1985,Georgetown
1986,Navy
1986,Temple
1987,Navy
1989,UAB
1989,Syracuse
1989,Temple
1989,Georgetown
1990,Georgetown
1990,Rhode Island
1991,Louisiana State
1991,Maryland
1991,Brigham Young
1991,Georgetown
1992,Vermont
1992,Georgetown
1992,Louisiana State
1993,Wyoming
1993,Clemson
1994,Wake Forest
1994,Marquette
1995,Maryland-Baltimore County
1995,Colgate
1995,Wake Forest
1995,Wyoming
1995,Tennessee Tech
1995,Central Connecticut State
1996,Colgate
1996,Massachusetts
1996,Central Connecticut State
1996,Alabama
1997,St. Francis (NY)
1997,Tennessee Tech
1997,Colgate
1998,Florida A&M
1998,Syracuse
1998,Georgia Tech
1998,Penn State
1999,Syracuse
1999,Hampton
2001,Ohio State
2001,Seton Hall
2001,Hampton
2001,Louisiana-Monroe
2002,Louisiana-Monroe
2002,Connecticut
2002,Northwestern State
2003,Auburn
2003,Connecticut
2004,Connecticut
2004,West Virginia
2005,Duke
2005,Northeastern
2005,Fairfield
2006,Wyoming
2006,Duke
2006,Northeastern
2007,Massachusetts
2007,Alabama A&M
2008,Tulsa
2008,Alabama A&M
2008,Connecticut
2008,Mississippi State
2009,Mississippi State
2009,Connecticut
2010,Marshall
2010,Kansas
2010,Baylor
2010,Mississippi State
2010,Rutgers
2011,Oakland
2011,Northwestern State
2012,Louisville
2012,Northwestern State
2012,Kansas
2012,Kentucky
2013,Akron
2013,St. John's (NY)
2013,Kansas
2014,Nevada-Las Vegas
2014,Arizona State
2017,Georgia Tech
2017,Nicholls State
2018,Marshall
2022,Morehead State
2022,Auburn
2022,Western Kentucky
2023,Western Kentucky
2025,Queens (NC)
