year,school
1954,Virginia
1954,Louisiana State
1956,Ohio State
1957,South Carolina
1957,Kansas
1957,Seattle
1957,Mississippi
1958,Seattle
1958,Cincinnati
1958,Kansas
1959,Cincinnati
1960,St. Bonaventure
1960,Cincinnati
1961,St. Bonaventure
1961,East Tennessee State
1961,Gonzaga
1962,Seton Hall
1962,Indiana
1962,Wake Forest
1962,Utah
1962,Purdue
1962,Holy Cross
1963,Seton Hall
1964,Ohio State
1964,Miami (FL)
1964,Xavier
1964,Bowling Green State
1964,Western Michigan
1964,Princeton
1964,Seton Hall
1965,Utah State
1965,Miami (FL)
1965,Princeton
1966,Michigan
1966,Purdue
1966,Idaho State
1967,Providence
1968,Creighton
1968,Oklahoma City
1968,Houston
1968,Niagara
1968,Louisiana State
1969,Louisiana State
1969,Niagara
1969,Detroit Mercy
1969,Purdue
1970,Michigan
1970,Georgia Tech
1970,Idaho State
1970,Louisiana State
1970,Purdue
1970,Notre Dame
1970,Kentucky
1971,Idaho State
1971,Mississippi
1971,Indiana
1971,Notre Dame
1972,Illinois State
1972,Louisiana
1972,Oral Roberts
1973,Richmond
1973,Tulsa
1973,Pepperdine
1973,Cal State Los Angeles
1974,Texas-Rio Grande Valley
1974,Canisius
1975,Notre Dame
1975,Richmond
1975,NC State
1976,Portland State
1976,Texas-Rio Grande Valley
1977,Oral Roberts
1977,Houston
1977,Indiana State
1977,Portland State
1977,Hofstra
1978,Portland State
1978,Jackson State
1978,Indiana State
1979,Idaho State
1980,Drake
1980,Southern
1982,Texas Southern
1984,Akron
1987,Army
1988,Bradley
1989,Louisiana State
1989,Loyola Marymount
1990,Alabama State
1990,Loyola Marymount
1990,Ohio
1990,U.S. International
1990,Mississippi Valley State
1991,U.S. International
1991,Milwaukee
1991,Mississippi Valley State
1994,Purdue
1997,Long Island University
2017,Central Michigan
2019,Campbell
2025,Villanova
