year,school
1953,Seattle
1954,Furman
1955,Furman
1955,Virginia
1956,Furman
1957,North Carolina
1957,South Carolina
1958,Cincinnati
1958,Seattle
1959,Cincinnati
1959,West Virginia
1960,West Virginia
1960,Cincinnati
1962,Utah
1962,Wake Forest
1964,Princeton
1964,Miami (FL)
1965,Princeton
1965,Miami (FL)
1966,Utah
1967,UCLA
1967,Houston
1968,Niagara
1968,Louisiana State
1968,Houston
1969,Louisiana State
1969,Purdue
1970,Kentucky
1970,Louisiana State
1970,Notre Dame
1971,Mississippi
1971,Western Kentucky
1971,Notre Dame
1972,Louisiana
1972,Oral Roberts
1975,Notre Dame
1976,Texas-Rio Grande Valley
1977,Portland State
1977,Indiana State
1977,Hofstra
1977,Houston
1977,Oral Roberts
1978,Portland State
1978,Indiana State
1979,Indiana State
1980,Southern
1984,Oklahoma
1985,Oklahoma
1987,Army
1987,Ohio State
1987,Navy
1987,Nevada-Las Vegas
1988,Oklahoma
1988,Bradley
1988,Kansas
1988,Lehigh
1989,Louisiana State
1989,Michigan
1989,Loyola Marymount
1989,La Salle
1990,Loyola Marymount
1990,Louisiana State
1990,Georgia Tech
1990,Ohio
1990,U.S. International
1991,U.S. International
1991,Loyola Marymount
1991,Mississippi Valley State
1993,Jackson State
1994,Purdue
1996,Georgetown
1997,Long Island University
1998,Long Island University
2006,Gonzaga
2006,Duke
2007,Virginia Military Institute
2007,Texas
2007,Jackson State
2008,North Carolina
2008,Davidson
2009,UTEP
2009,Davidson
2009,Tennessee-Martin
2010,Houston
2011,Brigham Young
2011,Connecticut
2011,College of Charleston
2012,Oakland
2014,Creighton
2014,NC State
2016,Oklahoma
2017,Campbell
2017,Central Michigan
2017,South Dakota State
2018,Central Arkansas
2018,Oklahoma
2019,Purdue
2019,Hofstra
2019,Campbell
2023,Detroit Mercy
2024,Purdue
2025,Villanova
