year,school
1900,Central Connecticut State
1900,St. Bonaventure
1900,Liberty
1900,Southern Utah
1900,Temple
1900,Tulsa
1980,Grambling
1981,Colgate
1982,Robert Morris
1983,Colorado
1983,Robert Morris
1983,Hofstra
1983,Houston
1984,Alcorn State
1984,Colorado
1984,Robert Morris
1984,Gonzaga
1985,Chicago State
1985,Brooklyn
1986,St. Francis (NY)
1986,Hofstra
1986,Chicago State
1987,Texas Southern
1987,Boise State
1987,UT Arlington
1987,Delaware State
1987,Charleston Southern
1988,Oklahoma
1988,Towson
1988,Florida A&M
1988,Oral Roberts
1988,Southern
1989,Providence
1989,Cleveland State
1989,Texas Southern
1989,Oklahoma
1989,Towson
1989,Rice
1990,Oregon State
1990,Centenary (LA)
1990,Rice
1990,Eastern Washington
1990,Connecticut
1990,Coastal Carolina
1991,Delaware State
1991,Providence
1991,Connecticut
1991,UTSA
1991,St. Francis (NY)
1991,Tennessee Tech
1991,Milwaukee
1992,Northeastern Illinois
1993,California
1993,Utah State
1993,Wright State
1994,Long Island University
1994,Louisiana
1994,San Francisco
1995,George Mason
1995,Texas
1995,Texas-Rio Grande Valley
1996,McNeese State
1996,Cal Poly
1996,Long Beach State
1996,Maryland
1996,Jackson State
1996,Georgetown
1996,Northeastern Illinois
1998,Ball State
1998,Temple
1998,DePaul
1999,George Washington
1999,Loyola (MD)
1999,St. Bonaventure
2001,Sam Houston
2001,TCU
2001,Alabama A&M
2002,Alabama A&M
2002,Providence
2002,St. Bonaventure
2002,Texas-Rio Grande Valley
2003,Stetson
2004,St. Bonaventure
2005,Alabama A&M
2005,Norfolk State
2006,Alabama A&M
2006,Houston
2006,East Tennessee State
2007,Virginia Military Institute
2009,Virginia Military Institute
2011,Niagara
2014,Virginia Commonwealth
2016,Omaha
2017,Texas A&M-Corpus Christi
2017,Omaha
2018,Fordham
2019,Washington
2020,Merrimack
2021,Richmond
2024,Florida International
2025,Maine
