year,school
1900,Liberty
1900,St. Bonaventure
1900,Tulsa
1900,Hofstra
1980,Grambling
1982,Robert Morris
1983,Colorado
1983,Robert Morris
1983,Northern Iowa
1983,Houston
1983,Robert Morris
1984,Robert Morris
1984,Gonzaga
1984,Alcorn State
1984,Colorado
1985,Chicago State
1985,Brooklyn
1986,Chicago State
1986,St. Francis (NY)
1986,Hofstra
1986,Miami (OH)
1987,Charleston Southern
1987,Boise State
1988,Oklahoma
1988,Southern
1988,Oral Roberts
1988,Oklahoma
1988,Florida A&M
1988,Towson
1989,Providence
1989,Texas Southern
1989,Texas
1989,Cleveland State
1989,Minnesota
1989,Oklahoma
1990,Oregon State
1990,Nevada-Las Vegas
1990,Centenary (LA)
1990,Eastern Washington
1990,Connecticut
1990,Coastal Carolina
1991,St. Francis (NY)
1991,Arkansas
1991,Providence
1991,Connecticut
1991,East Tennessee State
1991,Tennessee Tech
1993,Wright State
1993,Western Kentucky
1993,California
1993,Utah State
1994,Louisiana
1994,San Francisco
1995,Arkansas
1995,Texas
1996,Georgetown
1996,McNeese State
1996,Massachusetts
1996,Jackson State
1996,Long Beach State
1996,Maryland
1996,Cal Poly
1997,Pittsburgh
1998,Ball State
1998,DePaul
1999,Syracuse
1999,Xavier
1999,Nebraska
1999,Temple
1999,George Washington
2001,Alabama A&M
2001,TCU
2001,Sam Houston
2002,St. Bonaventure
2002,Syracuse
2002,Alabama A&M
2002,Providence
2002,St. John's (NY)
2002,Texas-Rio Grande Valley
2003,UAB
2003,St. John's (NY)
2004,St. Bonaventure
2005,Alabama A&M
2006,Holy Cross
2006,Houston
2007,Virginia Military Institute
2008,South Carolina
2009,Virginia Military Institute
2009,Cleveland State
2011,Brigham Young
2012,Seton Hall
2013,Oakland
2013,Syracuse
2013,Florida Gulf Coast
2014,Virginia Commonwealth
2015,Hawaii
2016,Omaha
2017,Omaha
2017,Gardner-Webb
2017,Texas A&M-Corpus Christi
2018,Washington
2018,West Virginia
2019,Washington
2019,Texas-Rio Grande Valley
2019,South Florida
2019,UNC Greensboro
2019,Florida International
2020,Merrimack
2022,Richmond
2024,Montana State
2024,Florida International
2025,UC San Diego
2025,Maine
2025,UC-San Diego
