rank,school,year,champion
1,Georgetown,1985,False
16,Lehigh,1985,False
8,Temple,1985,False
9,Virginia Tech,1985,False
5,SMU,1985,False
12,Old Dominion,1985,False
4,Loyola (IL),1985,False
13,Iona,1985,False
6,Georgia,1985,False
11,Wichita State,1985,False
3,Illinois,1985,False
14,Northeastern,1985,False
7,Syracuse,1985,False
10,DePaul,1985,False
2,Georgia Tech,1985,False
15,Mercer,1985,False
1,Oklahoma,1985,False
16,North Carolina A&T,1985,False
8,USC,1985,False
9,Illinois State,1985,False
5,Louisiana Tech,1985,False
12,Pitt,1985,False
4,Ohio State,1985,False
13,Iowa State,1985,False
6,Texas Tech,1985,False
11,Boston College,1985,False
3,Duke,1985,False
14,Pepperdine,1985,False
7,UAB,1985,False
10,Michigan State,1985,False
2,Memphis,1985,False
15,Penn,1985,False
1,Michigan,1985,False
16,FDU,1985,False
8,Villanova,1985,True
9,Dayton,1985,False
5,Maryland,1985,False
12,Miami (OH),1985,False
4,LSU,1985,False
13,Navy,1985,False
6,Purdue,1985,False
11,Auburn,1985,False
3,Kansas,1985,False
14,Ohio,1985,False
7,Notre Dame,1985,False
10,Oregon State,1985,False
2,UNC,1985,False
15,Middle Tennessee,1985,False
1,St. John's (NY),1985,False
16,Southern,1985,False
8,Iowa,1985,False
9,Arkansas,1985,False
5,Washington,1985,False
12,Kentucky,1985,False
4,UNLV,1985,False
13,San Diego State,1985,False
6,Tulsa,1985,False
11,UTEP,1985,False
3,NC State,1985,False
14,Nevada,1985,False
7,Alabama,1985,False
10,Arizona,1985,False
2,VCU,1985,False
15,Marshall,1985,False
1,Duke,1986,False
16,Mississippi Valley State,1986,False
8,Old Dominion,1986,False
9,West Virginia,1986,False
5,Virginia,1986,False
12,DePaul,1986,False
4,Oklahoma,1986,False
13,Northeastern,1986,False
6,St. Joseph's,1986,False
11,Richmond,1986,False
3,Indiana,1986,False
14,Cleveland State,1986,False
7,Navy,1986,False
10,Tulsa,1986,False
2,Syracuse,1986,False
15,Brown,1986,False
1,Kansas,1986,False
16,North Carolina A&T,1986,False
8,Jacksonville,1986,False
9,Temple,1986,False
5,Michigan State,1986,False
12,Washington,1986,False
4,Georgetown,1986,False
13,Texas Tech,1986,False
6,NC State,1986,False
11,Iowa,1986,False
3,Notre Dame,1986,False
14,Little Rock,1986,False
7,Iowa State,1986,False
10,Miami (OH),1986,False
2,Michigan,1986,False
15,Akron,1986,False
1,Kentucky,1986,False
16,Davidson,1986,False
8,Western Kentucky,1986,False
9,Nebraska,1986,False
5,Alabama,1986,False
12,Xavier,1986,False
4,Illinois,1986,False
13,Fairfield,1986,False
6,Purdue,1986,False
11,LSU,1986,False
3,Memphis,1986,False
14,Ball State,1986,False
7,Virginia Tech,1986,False
10,Villanova,1986,False
2,Georgia Tech,1986,False
15,Marist,1986,False
1,St. John's (NY),1986,False
16,Montana State,1986,False
8,Auburn,1986,False
9,Arizona,1986,False
5,Maryland,1986,False
12,Pepperdine,1986,False
4,UNLV,1986,False
13,Louisiana-Monroe,1986,False
6,UAB,1986,False
11,Missouri,1986,False
3,UNC,1986,False
14,Utah,1986,False
7,Bradley,1986,False
10,UTEP,1986,False
2,Louisville,1986,True
15,Drexel,1986,False
1,UNC,1987,False
16,Penn,1987,False
8,Navy,1987,False
9,Michigan,1987,False
5,Notre Dame,1987,False
12,Middle Tennessee,1987,False
4,TCU,1987,False
13,Marshall,1987,False
6,Florida,1987,False
11,NC State,1987,False
3,Purdue,1987,False
14,Northeastern,1987,False
7,West Virginia,1987,False
10,Western Kentucky,1987,False
2,Syracuse,1987,False
15,Georgia Southern,1987,False
1,Indiana,1987,True
16,Fairfield,1987,False
8,Auburn,1987,False
9,San Diego,1987,False
5,Duke,1987,False
12,Texas A&M,1987,False
4,Missouri,1987,False
13,Xavier,1987,False
6,St. John's (NY),1987,False
11,Wichita State,1987,False
3,DePaul,1987,False
14,Louisiana Tech,1987,False
7,Georgia Tech,1987,False
10,LSU,1987,False
2,Temple,1987,False
15,Southern,1987,False
1,Georgetown,1987,False
16,Bucknell,1987,False
8,Kentucky,1987,False
9,Ohio State,1987,False
5,Kansas,1987,False
12,Houston,1987,False
4,Clemson,1987,False
13,Missouri State,1987,False
6,Providence,1987,False
11,UAB,1987,False
3,Illinois,1987,False
14,Austin Peay,1987,False
7,New Orleans,1987,False
10,BYU,1987,False
2,Alabama,1987,False
15,North Carolina A&T,1987,False
1,UNLV,1987,False
16,Idaho State,1987,False
8,Georgia,1987,False
9,Kansas State,1987,False
5,Virginia,1987,False
12,Wyoming,1987,False
4,UCLA,1987,False
13,Central Michigan,1987,False
6,Oklahoma,1987,False
11,Tulsa,1987,False
3,Pitt,1987,False
14,Marist,1987,False
7,UTEP,1987,False
10,Arizona,1987,False
2,Iowa,1987,False
15,Santa Clara,1987,False
1,Temple,1988,False
16,Lehigh,1988,False
8,Georgetown,1988,False
9,LSU,1988,False
5,Georgia Tech,1988,False
12,Iowa State,1988,False
4,Indiana,1988,False
13,Richmond,1988,False
6,Missouri,1988,False
11,Rhode Island,1988,False
3,Syracuse,1988,False
14,North Carolina A&T,1988,False
7,SMU,1988,False
10,Notre Dame,1988,False
2,Duke,1988,False
15,Boston University,1988,False
1,Purdue,1988,False
16,FDU,1988,False
8,Baylor,1988,False
9,Memphis,1988,False
5,DePaul,1988,False
12,Wichita State,1988,False
4,Kansas State,1988,False
13,La Salle,1988,False
6,Kansas,1988,True
11,Xavier,1988,False
3,NC State,1988,False
14,Murray State,1988,False
7,Vanderbilt,1988,False
10,Utah State,1988,False
2,Pitt,1988,False
15,Eastern Michigan,1988,False
1,Oklahoma,1988,False
16,Chattanooga,1988,False
8,Auburn,1988,False
9,Bradley,1988,False
5,Louisville,1988,False
12,Oregon State,1988,False
4,BYU,1988,False
13,Charlotte,1988,False
6,Villanova,1988,False
11,Arkansas,1988,False
3,Illinois,1988,False
14,UTSA,1988,False
7,Maryland,1988,False
10,UCSB,1988,False
2,Kentucky,1988,False
15,Southern,1988,False
1,Arizona,1988,False
16,Cornell,1988,False
8,Seton Hall,1988,False
9,UTEP,1988,False
5,Iowa,1988,False
12,Florida State,1988,False
4,UNLV,1988,False
13,Missouri State,1988,False
6,Florida,1988,False
11,St. John's (NY),1988,False
3,Michigan,1988,False
14,Boise State,1988,False
7,Wyoming,1988,False
10,Loyola Marymount,1988,False
2,UNC,1988,False
15,North Texas,1988,False
1,Georgetown,1989,False
16,Princeton,1989,False
8,Vanderbilt,1989,False
9,Notre Dame,1989,False
5,NC State,1989,False
12,South Carolina,1989,False
4,Iowa,1989,False
13,Rutgers,1989,False
6,Kansas State,1989,False
11,Minnesota,1989,False
3,Stanford,1989,False
14,Siena,1989,False
7,West Virginia,1989,False
10,Tennessee,1989,False
2,Duke,1989,False
15,South Carolina State,1989,False
1,Illinois,1989,False
16,McNeese State,1989,False
8,Pitt,1989,False
9,Ball State,1989,False
5,Arkansas,1989,False
12,Loyola Marymount,1989,False
4,Louisville,1989,False
13,Little Rock,1989,False
6,Georgia Tech,1989,False
11,Texas,1989,False
3,Missouri,1989,False
14,Creighton,1989,False
7,Florida,1989,False
10,Colorado State,1989,False
2,Syracuse,1989,False
15,Bucknell,1989,False
1,Oklahoma,1989,False
16,ETSU,1989,False
8,La Salle,1989,False
9,Louisiana Tech,1989,False
5,Virginia,1989,False
12,Providence,1989,False
4,Florida State,1989,False
13,Middle Tennessee,1989,False
6,Alabama,1989,False
11,South Alabama,1989,False
3,Michigan,1989,True
14,Xavier,1989,False
7,UCLA,1989,False
10,Iowa State,1989,False
2,UNC,1989,False
15,Southern,1989,False
1,Arizona,1989,False
16,Robert Morris,1989,False
