year,school
1952,Wake Forest
1952,Seton Hall
1953,Navy
1953,George Washington
1953,Fordham
1953,Seton Hall
1953,Bradley
1953,Connecticut
1954,Rutgers
1954,La Salle
1954,San Francisco
1954,Connecticut
1954,George Washington
1954,Saint Louis
1954,Creighton
1955,George Washington
1955,La Salle
1955,NC State
1955,San Francisco
1955,Houston
1955,Connecticut
1955,Alabama
1955,Wake Forest
1955,Boston College
1956,Marshall
1956,Louisville
1956,Saint Louis
1956,Holy Cross
1956,San Francisco
1956,NC State
1956,Alabama
1957,Mississippi State
1957,Seattle
1957,Kansas
1957,Cincinnati
1957,Xavier
1957,Morehead State
1957,Louisville
1958,Seattle
1958,Dartmouth
1958,Michigan State
1958,Miami (OH)
1959,Virginia Tech
1960,Cornell
1960,William & Mary
1960,Michigan State
1960,Ohio
1960,Detroit Mercy
1960,Virginia Tech
1961,Detroit Mercy
1961,Indiana
1962,Furman
1962,Detroit Mercy
1962,Lafayette
1962,Creighton
1962,Ohio State
1963,Creighton
1963,Idaho
1964,Xavier
1964,Idaho State
1964,Iona
1964,Creighton
1964,Detroit Mercy
1965,Iona
1965,Pacific
1965,East Tennessee State
1965,Miami (FL)
1965,Connecticut
1966,Pacific
1966,Louisville
1966,Oklahoma City
1967,Pacific
1967,Louisville
1967,American
1967,Murray State
1968,Houston
1968,Louisville
1968,Eastern Kentucky
1968,Florida
1969,Detroit Mercy
1969,Boston College
1969,Morehead State
1969,Saint Francis (PA)
1969,Florida
1970,San Francisco
1970,Jacksonville
1970,Massachusetts
1971,American
1971,Jacksonville
1971,Pacific
1971,Massachusetts
1972,American
1972,Pacific
1973,Nevada
1973,American
1973,Northern Illinois
1973,Providence
1973,Centenary (LA)
1974,Providence
1976,Centenary (LA)
2025,Northern Arizona
