year,school
1952,William & Mary
1952,Kentucky
1952,Pennsylvania
1952,La Salle
1952,Seton Hall
1953,Fordham
1953,Bradley
1953,William & Mary
1953,Seton Hall
1954,Saint Louis
1954,George Washington
1954,Dayton
1954,La Salle
1954,Rutgers
1954,Creighton
1954,Connecticut
1955,Detroit Mercy
1955,Marshall
1955,George Washington
1955,Wake Forest
1955,Boston College
1955,La Salle
1955,Fordham
1955,Connecticut
1955,NC State
1955,San Francisco
1956,San Francisco
1956,Marshall
1956,George Washington
1956,Holy Cross
1956,NC State
1956,Alabama
1956,Louisville
1957,Mississippi State
1957,Notre Dame
1957,Seattle
1957,Louisville
1957,Niagara
1957,Xavier
1957,Morehead State
1957,Kansas
1958,Notre Dame
1958,Dartmouth
1958,Seattle
1958,Miami (OH)
1959,Pacific
1959,Cincinnati
1960,West Virginia
1960,Detroit Mercy
1960,Virginia Tech
1961,Detroit Mercy
1962,Furman
1962,Ohio State
1962,Creighton
1962,Detroit Mercy
1963,Oregon State
1963,Creighton
1964,Creighton
1964,Xavier
1964,UTEP
1964,Oregon State
1964,Detroit Mercy
1965,Connecticut
1966,Pacific
1966,Louisville
1966,Oklahoma City
1966,Houston
1967,Houston
1967,Dayton
1967,Pacific
1967,Louisville
1968,Florida
1968,Louisville
1968,Houston
1969,Boston College
1969,Saint Francis (PA)
1969,Morehead State
1969,Detroit Mercy
1969,Florida
1970,Jacksonville
1970,New Mexico State
1970,Massachusetts
1971,American
1971,Villanova
1971,Jacksonville
1971,Pacific
1971,Massachusetts
1973,Providence
1973,Memphis
1973,American
1973,UCLA
1973,Centenary (LA)
1974,Providence
1976,Centenary (LA)
1979,Indiana State
1984,Houston
2009,Oklahoma
2011,Morehead State
2022,North Carolina
2022,Kentucky
2025,Northern Arizona
