year,rank,overall_wins,overall_win_loss_percentage,conference_wins,conference_losses,own_points_per_game,simple_rating_system,ap_pre,ap_high,ap_final,conference_tournament_champion,poy,points,steals,steals per game,assists,assists per game,blocks,blocks per game,champion
1985,2,35,0.921,14,2,74.0,5.77,1,1,1,True,1,0,0,0,0,0,1,0,0
1985,6,12,0.387,6,8,65.0,-6.89,26,26,26,True,0,0,0,0,0,0,0,0,0
1985,2,25,0.806,15,3,64.8,0.67,26,26,26,True,0,0,0,0,0,0,0,0,0
1985,2,20,0.69,10,4,80.3,2.41,15,11,26,False,0,0,0,0,0,0,0,0,0
1985,2,23,0.697,10,6,75.7,3.33,10,2,26,False,0,0,0,0,0,0,0,0,0
1985,3,19,0.613,9,5,73.1,6.1,26,26,26,False,0,0,0,0,0,0,0,0,0
1985,1,27,0.818,13,1,83.5,4.07,26,14,14,True,0,0,0,0,1,1,0,0,0
1985,1,26,0.839,11,3,73.9,-3.87,26,26,26,True,0,0,0,0,0,0,0,0,0
1985,2,22,0.71,12,6,76.6,7.17,26,14,19,False,0,0,0,0,0,0,0,0,0
1985,3,18,0.581,11,5,76.5,4.33,26,26,26,True,0,0,0,0,0,0,0,0,0
1985,2,26,0.743,12,6,68.2,8.14,2,2,12,False,0,0,0,0,0,0,0,0,0
1985,3,22,0.71,13,3,76.4,-4.48,26,26,26,True,0,0,0,0,0,0,0,0,0
1985,3,22,0.71,9,7,73.0,7.05,12,5,15,False,0,0,0,0,0,0,0,0,0
1985,1,27,0.771,9,5,69.9,7.42,20,6,6,True,0,0,0,0,0,0,0,0,0
1985,3,22,0.71,10,4,78.3,-7.18,26,26,26,True,0,0,0,0,0,0,0,0,0
1985,1,31,0.838,13,1,88.8,5.64,5,4,4,True,0,1,0,0,0,0,0,0,0
1985,1,19,0.655,10,2,71.4,-9.11,26,26,26,True,0,0,0,0,0,0,0,0,0
1985,2,19,0.655,13,5,67.9,5.14,26,26,26,False,0,0,0,0,0,0,0,0,0
1985,2,22,0.733,11,5,71.0,3.21,26,26,26,False,0,0,0,0,0,0,0,0,0
1985,1,29,0.906,11,1,77.8,-1.36,26,7,8,True,0,0,0,0,0,0,0,0,0
1985,5,17,0.586,8,8,69.6,5.61,26,26,26,False,0,0,0,0,0,0,0,0,0
1985,4,20,0.667,11,7,77.3,8.25,26,26,26,False,0,0,0,0,0,0,0,0,0
1985,3,21,0.618,7,7,71.7,5.61,26,26,26,False,0,0,0,0,0,0,0,0,0
1985,1,23,0.742,12,4,68.6,4.17,26,17,17,True,0,0,0,0,0,0,0,0,0
1985,6,20,0.645,7,9,73.6,6.24,26,12,26,False,0,0,0,0,0,0,0,0,0
1985,4,23,0.742,8,6,78.9,7.38,6,2,10,False,0,0,0,0,0,0,0,0,0
1985,1,23,0.719,11,1,75.2,-1.26,26,26,26,False,0,0,0,0,0,0,0,0,0
1985,2,25,0.735,11,3,66.2,5.17,26,13,26,False,0,0,0,0,0,0,0,0,0
1985,6,19,0.655,10,8,72.2,7.7,26,17,26,False,0,0,0,0,0,0,0,0,0
1985,1,31,0.886,13,1,72.9,5.73,8,3,5,True,0,0,0,0,0,0,0,0,0
1985,1,13,0.481,10,4,67.9,-4.27,26,26,26,False,0,0,0,0,0,0,0,0,0
1985,1,26,0.867,16,2,78.2,8.67,26,2,2,False,0,0,0,0,0,0,0,0,0
1985,2,21,0.677,10,4,67.4,-7.61,26,26,26,True,0,0,0,0,0,0,0,0,0
1985,4,25,0.714,9,7,68.7,7.29,26,14,26,False,0,0,0,0,0,0,0,0,1
1985,5,25,0.676,8,6,70.8,8.47,26,17,26,False,0,0,0,0,0,0,0,0,0
